hparams_seed,algorithm,test_env,val_env,trial,seed
19,ERMMerged,all,train,0,1354036299
19,ERMMerged,all,train,1,1987860310
19,ERMMerged,all,train,2,81156178
19,ERMMerged,all,train,3,440071237
19,ERMMerged,all,train,4,564532458
19,ERMMerged,all,train,5,1319246845
19,ERMMerged,all,train,6,1990646570
19,ERMMerged,all,train,7,1466429486
19,ERMMerged,all,train,8,1517526952
19,ERMMerged,all,train,9,391228957
26,ERMID,miiv,train,0,1883031257
26,ERMID,miiv,train,1,115664599
26,ERMID,miiv,train,2,1713588389
26,ERMID,miiv,train,3,82156359
26,ERMID,miiv,train,4,155585752
26,ERMID,miiv,train,5,1776183609
26,ERMID,miiv,train,6,775554803
26,ERMID,miiv,train,7,740779814
26,ERMID,miiv,train,8,1160179790
26,ERMID,miiv,train,9,1509772603
26,ERM,miiv,train,0,1325793644
26,ERM,miiv,train,1,1189322987
26,ERM,miiv,train,2,934523866
26,ERM,miiv,train,3,1527555466
26,ERM,miiv,train,4,676023208
26,ERM,miiv,train,5,1569370329
26,ERM,miiv,train,6,1590135917
26,ERM,miiv,train,7,1787905370
26,ERM,miiv,train,8,1857616494
26,ERM,miiv,train,9,1194215727
26,ERMID,eicu,train,0,1883031257
26,ERMID,eicu,train,1,115664599
26,ERMID,eicu,train,2,1713588389
26,ERMID,eicu,train,3,82156359
26,ERMID,eicu,train,4,155585752
26,ERMID,eicu,train,5,1776183609
26,ERMID,eicu,train,6,775554803
26,ERMID,eicu,train,7,740779814
26,ERMID,eicu,train,8,1160179790
26,ERMID,eicu,train,9,1509772603
26,ERM,eicu,train,0,1325793644
26,ERM,eicu,train,1,1189322987
26,ERM,eicu,train,2,934523866
26,ERM,eicu,train,3,1527555466
26,ERM,eicu,train,4,676023208
26,ERM,eicu,train,5,1569370329
26,ERM,eicu,train,6,1590135917
26,ERM,eicu,train,7,1787905370
26,ERM,eicu,train,8,1857616494
26,ERM,eicu,train,9,1194215727
14,ERMID,hirid,train,0,1577061152
14,ERMID,hirid,train,1,23830222
14,ERMID,hirid,train,2,169732266
14,ERMID,hirid,train,3,1130056225
14,ERMID,hirid,train,4,292397462
14,ERMID,hirid,train,5,167600974
14,ERMID,hirid,train,6,1807986484
14,ERMID,hirid,train,7,1472418119
14,ERMID,hirid,train,8,147084742
14,ERMID,hirid,train,9,989961374
26,ERM,hirid,train,0,1325793644
26,ERM,hirid,train,1,1189322987
26,ERM,hirid,train,2,934523866
26,ERM,hirid,train,3,1527555466
26,ERM,hirid,train,4,676023208
26,ERM,hirid,train,5,1569370329
26,ERM,hirid,train,6,1590135917
26,ERM,hirid,train,7,1787905370
26,ERM,hirid,train,8,1857616494
26,ERM,hirid,train,9,1194215727
26,ERMID,aumc,train,0,1883031257
26,ERMID,aumc,train,1,115664599
26,ERMID,aumc,train,2,1713588389
26,ERMID,aumc,train,3,82156359
26,ERMID,aumc,train,4,155585752
26,ERMID,aumc,train,5,1776183609
26,ERMID,aumc,train,6,775554803
26,ERMID,aumc,train,7,740779814
26,ERMID,aumc,train,8,1160179790
26,ERMID,aumc,train,9,1509772603
26,ERM,aumc,train,0,1325793644
26,ERM,aumc,train,1,1189322987
26,ERM,aumc,train,2,934523866
26,ERM,aumc,train,3,1527555466
26,ERM,aumc,train,4,676023208
26,ERM,aumc,train,5,1569370329
26,ERM,aumc,train,6,1590135917
26,ERM,aumc,train,7,1787905370
26,ERM,aumc,train,8,1857616494
26,ERM,aumc,train,9,1194215727
